"userNum","name","id","password","contact","address","email","birthDate","sex","signupDate","passwordHash"
20,조민수,ballet8234,WqTXaHjpVaW5*Dj,"010-576-1669",대국 A시 성복구 자차로 76-08,"8314@email.com","1988-01-25",1,"2024-11-13",$2b$05$tqlA67RYMzsZNXRoeX781OgwQbCZz72hBPqiCg5hgN0ved5lExswm
21,윤다주,tennis4802,"6@XT0MQ2^umVn","010-442-8424",대국 B시 강남구 다라로 63-56,dnhq@email.com,"1951-02-22",0,"2024-11-14",$2b$05$kSP4QhGknZhTo5qnBj39a.liC0Nb54NAOJbOH6hV6Nqp64MTM/6Ma
22,장민휘,green6313,q0#!b5vtIWg8j&F,"010-555-8503",대국 B시 중앙구 가나로 16-19,"7ri@email.com","2008-10-26",1,"2024-11-15",$2b$05$.R7SGSHr5wL54ia5Xfu/N.m1NH8CYES80pcyMEFMR7TLCwp8Vp1/W
23,강은휘,dream5011,j5ASTOs4be@,"010-263-1706",대국 B시 강남구 다라로 97-69,qht@email.com,"1985-05-03",0,"2024-11-15",$2b$05$iOufJ3eRymlnIGNH6B1XB.JqtWrQQ8LMNHc7wU97.Jmy71QoQeXiu
24,최하호,ballet9057,pOd3HLJBWm&WG,"010-456-7861",대국 C시 대덕구 가나로 69-28,j8@email.com,"2010-06-28",1,"2024-11-16",$2b$05$mA1BfOMPdzYZ5tjD8.g1w.PP9B3Oax5EFX4stz40ZeV9avkVeb1..
25,조민영,love6810,Zictsl7aG$c,"010-116-8860",대국 B시 노은구 마바로 92-50,l01@email.com,"1951-02-22",1,"2024-11-17",$2b$05$O5FIY3gxZz.p/xP1a01Et.sXnhltFySYqDLtH61EF50H3THL.57oy
26,윤동윤,teddy6735,zCNnMfJ1t*Vi&,"010-443-3084",대국 A시 노은구 다라로 49-38,on@email.com,"1979-07-25",1,"2024-11-18",$2b$05$YitNk0vnaZD56EenLSQrG.giUujO35FsusNmiQmHn1czkeD9FO4x6
27,최서진,love6588,wAAMUHnA#6k*Ujf,"010-888-1775",대국 C시 중앙구 가나로 95-85,caut@email.com,"1997-03-28",0,"2024-11-18",$2b$05$jwZSB86euLxZfeE9ya9J3.BvGgz9.9/Sjc0z5/e8tHkQVWJGUKoqy
28,장현현,tennis4534,CJ#WM3z!LSf1Uy,"010-957-8581",대국 A시 중앙구 자차로 92-71,"9bos@email.com","1986-08-07",0,"2024-11-19",$2b$05$HgtguzVZcwwt5A4sW0vbK.zls8O4aj7UtJ1aOV52vIRzXcgtvKG.2
29,최민윤,sky1300,mIk1pT@YhfNrF,"010-674-4354",대국 C시 대덕구 자차로 94-71,zlm@email.com,"1980-12-16",0,"2024-11-19",$2b$05$z3lhrSAeFKJsNfGbHzMeNehblZnHNYespUvN8kI1.ezAcfq8a0Cle
30,임동영,teddy7827,"1@fPMsa0aKKAo","010-296-2925",대국 B시 성복구 사아로 85-55,jdn8@email.com,"1999-09-10",0,"2024-11-20",$2b$05$F7jjM2yBJm.KUazY20E.XuzEckN.h6L.a1lfu3yiwlnkPa.N/vu.2
31,윤동호,tennis6188,"9rL&cB1^nE","010-344-9841",대국 C시 대덕구 가나로 08-11,hc@email.com,"1977-07-21",1,"2024-11-20",$2b$05$HTj9d4RY8Omk5CmvSruB1egreiukkeQsjot8n2//rXwvaoVIjsFnC
32,조지영,love2039,DS3r*MbAXH2,"010-311-3344",대국 B시 대덕구 마바로 90-76,f1@email.com,"1985-09-26",0,"2024-11-21",$2b$05$fhOW/7okB4Tf0AYUX8r9TelQWT8C21qt3yQdRtdgYqQW4MCF1wG2y
33,최동진,best9919,K0Yp%9KWREYHUSk,"010-990-4276",대국 B시 강남구 다라로 39-80,i87x@email.com,"1976-04-08",0,"2024-11-23",$2b$05$i.RMpcjvrazQcZuzSBU04Owdd66GYNnWzlFoR7bRy2KCoT.DnZAtC
34,최유진,teddy7516,$bLSWax1AZ,"010-278-1616",대국 B시 성복구 자차로 98-02,eh@email.com,"1983-09-03",1,"2024-11-24",$2b$05$WedvMRx38CwsRPEIap2TveyzJbWwPs/kVySNqTqCO1OWlUehXlXOe
35,강은진,tennis5490,*2yBPKZegt,"010-211-3699",대국 C시 강남구 사아로 74-50,"86@email.com","2005-01-22",1,"2024-11-25",$2b$05$u9lYjit.uTei7A05PKmiqOchaNjZx265mKllT5.0yFWbC85htglg2
36,윤다지,tennis5891,"53^S!NTFx5","010-141-8711",대국 B시 중앙구 사아로 60-26,t7@email.com,"2001-01-08",1,"2024-11-27",$2b$05$qNDeI9himQUyoJPZYY2dhepWLviPmDeHJCcc6cEgZgidOztheyXNy
37,이유진,ballet7247,"6nm377$*GMuegY","010-554-1351",대국 B시 중앙구 마바로 99-37,"7e4@email.com","1985-12-13",0,"2024-11-28",$2b$05$mBLyQvXhlycJWYO7zX5Hs.V3DYJTUZ7l7z4O4koYisd6tYK6xu9LK
38,이지휘,green5181,Y^Q02qq^2@nVNE1,"010-453-8412",대국 A시 노은구 마바로 26-03,"4sk@email.com","1983-10-12",0,"2024-11-28",$2b$05$5K0FpHYQJ7soLGYDeXbrVe0wIAMTsq319.0bxx/4BtdtOYDRFqgPi
39,임유휘,green4726,$Xflhe9MbB1f,"010-403-7977",대국 C시 강남구 가나로 84-39,y5a@email.com,"1957-03-21",0,"2024-11-30",$2b$05$ydlSTycmTYtd3IMh5E9WWuEM4yDqL6Ob8RT3OZB2UzvnHeYYHGwM.
40,정다휘,code3143,Mhh25z5cYM*h6,"010-478-4022",대국 A시 강남구 다라로 91-39,"24@email.com","1975-05-08",1,"2024-12-01",$2b$05$eSWTf78TG/fat3ckV6iE7eb8e74IjsdW3aU//u7dXqWvGwi9cNCNm
41,최은윤,ballet6156,#9cTh^StZONAA,"010-155-6966",대국 B시 강남구 마바로 53-45,ik3o@email.com,"1990-09-26",1,"2024-12-02",$2b$05$t7arxgiFJk6VEhig7OtCguuDavP9qOqw1AgLm8V9rhToTrWRrm8BC
42,정유현,go6528,hH8TWlf7uw%fl,"010-652-3663",대국 B시 성복구 가나로 42-64,d4f@email.com,"1989-11-07",1,"2024-12-03",$2b$05$0EQeY.jkGbEtXnzK.KnkKubXtS1RM8rw8KG95OYJVJYEZ1damZJLm
43,박동진,tennis7383,CiVMw^odmet1lzl,"010-279-3514",대국 C시 성복구 다라로 32-67,"6vv8@email.com","1996-06-01",1,"2024-12-03",$2b$05$gam8uv9WnZHNSbVGw3wXl.2IRiUL7c0unR6GE.gTJ9jH6w0DqZ/Gm
44,윤유수,green4724,%Ia7^7zw!9Otm1J,"010-400-7824",대국 C시 강남구 마바로 56-26,"1g7i@email.com","1989-02-04",1,"2024-12-03",$2b$05$4SqZshmGIETdEnY9IXNoZOOOYg98Id72yQgec.IBBz.wvnakTqLl6
45,임지현,tennis5842,T6KA@Ky8IHQJjl,"010-298-2846",대국 B시 성복구 다라로 32-31,"2zue@email.com","1989-08-28",0,"2024-12-04",$2b$05$jZH7QUTHIDBwiqdMGeR/VOyV8a0a14AUxnO0W.EExO0tk.Wc3HmT.
46,임다수,cook7897,VP3KKz#h6@o,"010-521-6616",대국 A시 대덕구 다라로 46-21,k9y@email.com,"2001-01-08",0,"2024-12-05",$2b$05$zx04ggb5ALfeFIqkthc5qu0dsJXqpyu5Tfl.FUjWMoPyaJ6P5MECi
47,최현윤,ballet3182,EepfcA&QKXP%5S,"010-733-6929",대국 B시 중앙구 자차로 54-35,wxq@email.com,"1990-01-12",0,"2024-12-05",$2b$05$tYUYyUukZBeBmlIpNPeew.ZDNCI5.u3WD9F4FTiYWp/Tf3.oQpVty
48,임다지,run7060,OWWk1rIWx^,"010-643-1535",대국 C시 대덕구 마바로 80-66,o7q5@email.com,"2000-02-19",0,"2024-12-05",$2b$05$lyN97nbcs0zj8nxZVx6wO.GX4NJU1mMVny.y7CtQTOO66WpV7LP6W
49,강현휘,best118,kA0H7vX4#N^Nj,"010-569-7852",대국 A시 중앙구 가나로 66-25,k5w@email.com,"1983-10-12",0,"2024-12-05",$2b$05$UoC39SZJloiNv8OzY0BFX.XxyzUsm2J1DW9hxuxQU/gSUN7mwBUJq
50,정유호,love2993,%B2ct*Iy$EVUfR,"010-896-3584",대국 A시 대덕구 마바로 21-14,ex@email.com,"1995-10-26",0,"2024-12-06",$2b$05$jXKdUw8ce9ePUmF8QDm0u.2wv035MXo22K3mBU8bj07E4UZ6D1ia.
51,이다수,green6045,%#qVBsLEu3AwL%g,"010-134-7974",대국 C시 대덕구 마바로 99-83,b0u@email.com,"1992-11-15",1,"2024-12-08",$2b$05$9FqMbusKq7IPoKALVF0K..tIEM0xPwd5zxTcAUvLrOWZV0RsiO19u
52,임다호,tennis6983,ucIo$xaV@6Ukg,"010-639-3010",대국 B시 성복구 가나로 33-63,nd9@email.com,"1970-11-20",0,"2024-12-08",$2b$05$4gew1jj8koNhR7dnZ5.kE.nXcKAS4YvQOaaJLnDj/xjTDr2QnXwLy
53,장다린,best9811,"77e@^aN&htcEP","010-962-9986",대국 C시 강남구 마바로 03-83,ae@email.com,"2006-10-18",0,"2024-12-09",$2b$05$rQnOBEu3vWoUyS5yIBb3.ONupHBMlX7xWfHJ0k.jawkaX7ErY196u
54,임민휘,teddy6947,gVtYT@9xOjy^,"010-906-2326",대국 A시 강남구 가나로 42-08,cwzx@email.com,"1968-01-10",1,"2024-12-10",$2b$05$YrCPsEWMegqMPKjl6oSVDe70P7KkVhjI4uog9/O9sPlwbuMDbAWnO
55,최수휘,sky7354,Ms%4Olv!Ldc@,"010-762-5842",대국 C시 중앙구 가나로 63-69,cc5@email.com,"2015-12-08",1,"2024-12-10",$2b$05$nxdLotsKb5kx4f14nYvKKO/L8QUw1QUvEavYX84kEipvo6Jmyex2y
56,임은호,green99,UfyL^PM65DL8H9H,"010-608-3465",대국 B시 중앙구 마바로 88-57,ufn0@email.com,"1953-11-01",1,"2024-12-11",$2b$05$A6EW7fAR8NaTCIuqKt03EeHSDZ5xiZ3B/w.b6.ZIlj94OzQzDIcR6
57,임수현,cook2338,znyT1ly54RE#q,"010-865-6336",대국 C시 강남구 사아로 19-31,zq@email.com,"1993-10-20",0,"2024-12-12",$2b$05$HzBsGcmxBQcKawmOUTKhm.cNSUPw2SRPBC1XuCpcYthpjcwfLcdX6
58,박현지,cat937,!HEuWnnyZt6#,"010-771-6346",대국 C시 대덕구 자차로 24-03,h3r@email.com,"1989-06-03",0,"2024-12-13",$2b$05$7o57vhDEDXMicPXasqHqHukoey/KyXX3Ur7Iub6Vflbq55SnplTgC
59,조유수,go6366,ff#&kwP1TTvE,"010-482-3234",대국 B시 중앙구 다라로 24-86,ely@email.com,"1975-05-08",1,"2024-12-13",$2b$05$6VD0yLIeFIL2IlXLFYRMDOa7TlRJwvrdw6ApJKZg12/.wMEtguDx.
60,임다현,teddy5427,teB*s4me&o,"010-977-9548",대국 C시 강남구 자차로 09-46,bw@email.com,"1963-02-20",0,"2024-12-13",$2b$05$HvJcbyvHODBFnYA8rXG6a.f3pbRXehMvDgaLKq5PmvK1bWwbamoky
61,윤현현,teddy2057,qUf$OIPGM5m%eh4,"010-373-9250",대국 C시 강남구 다라로 47-61,msd@email.com,"1982-10-20",0,"2024-12-17",$2b$05$nSwE1VUxK73qpOfWDyTX9.N0eoiZzJa4w1ws.ixc6dn0qTOgnVuqG
62,장유린,sky3393,#$mlun6R8%HnANT,"010-871-4693",대국 A시 노은구 사아로 77-67,se@email.com,"2011-07-21",0,"2024-12-17",$2b$05$N1F4TVKC439PH9zx9n6T/.x3NnHTBAIvDKsCnSwxGegnWL0gThsBu
63,장하휘,tennis6697,aYe0d7zJuWQt#A,"010-241-6487",대국 B시 중앙구 사아로 61-72,"8yc@email.com","2000-02-19",1,"2024-12-18",$2b$05$Ir6BJDVUOuFll.z136aBKORQRAKTrEL9VfR/LXcEz3VmL8bpl.akm
64,이수윤,dream6925,DWyc8y*t&%fSz4V,"010-224-1408",대국 A시 강남구 마바로 45-40,iyfr@email.com,"1950-04-03",1,"2024-12-18",$2b$05$p87xtGRXf9mQd1a7sW9E5enTfLgcDN1yr3r8zU7FE7rgn8RUbVuVq
65,임다주,blue6829,j*q#OO25q9,"010-188-7745",대국 A시 강남구 가나로 38-38,ds9@email.com,"1968-01-14",1,"2024-12-19",$2b$05$2Pfn3NaYqI.TND6BzHjaxeaEvZYoMsQ1JSNF1EdT8HffNhmqqpXmi
66,강수주,tennis9828,XUL&0Gj4#GF,"010-164-7108",대국 C시 강남구 가나로 41-70,qi9m@email.com,"1993-03-09",1,"2024-12-19",$2b$05$ITYuT/pTvLmc.M/Y98hg..FknVsgFX8bUVs/b53GysoYHnXIDKa1S
67,이동린,code2553,Q89Y!HI!EeTa,"010-383-1869",대국 B시 노은구 사아로 78-87,cqo@email.com,"1961-11-04",1,"2024-12-19",$2b$05$8xL.d.7yP3nYgsMhGRhscejDx4yvLszTl/bqJ69WxL20bopsR9DYO
68,정지지,best6233,ag5RHgoS&Hi2,"010-635-8379",대국 B시 성복구 사아로 37-59,db82@email.com,"1989-11-07",1,"2024-12-20",$2b$05$WD9BETY4xvWotTyCzRX8YeitYI5Jhks9v3cagjwamIgu6XsIaalSG
69,최동수,tennis9381,QB!2$0KFl7iq,"010-259-1070",대국 C시 중앙구 사아로 55-27,"7k@email.com","1989-02-04",0,"2024-12-24",$2b$05$d4IsZD9W8D5oXBOsnTWQ2.ccDw8Shk.nrkp7X4CIVdsM7mQo18w/2
70,장하린,code5642,u*Fy5E*2q4P,"010-144-2710",대국 A시 성복구 가나로 29-17,nbfa@email.com,"1982-09-21",1,"2024-12-24",$2b$05$PkVzAQYipOi/2EvMEtG89eoT.s4zsDGbCOdaavtcQvy.4xu4Ij1Ka
71,이서수,love6249,TcX*KQz#B2VdSx,"010-346-2361",대국 A시 대덕구 자차로 29-58,"83y@email.com","1984-01-26",1,"2024-12-24",$2b$05$QMSzyppQBUJkpKYgvKG6OOL1zt4aJqw0wW8aD4cJYLHHygn7VH9aC
72,조서주,teddy8836,S4O1ocs!LTkB!P,"010-627-6963",대국 B시 중앙구 가나로 98-81,rup@email.com,"1981-10-23",0,"2024-12-25",$2b$05$ZI83PfBFtrX2iUNj8gUXGOdaif5NRHquFCtOfN35E75kFmJNRhS7q
73,김유윤,go2844,A*NzkQCccX4Kk,"010-908-3784",대국 A시 중앙구 사아로 06-39,"92@email.com","1985-09-26",1,"2024-12-26",$2b$05$hRkEdbcavU.BTx.Fed7S3uwuWiIXQqvs85fa22VveWBgqFaTwUue.
74,강유린,best3432,SW73B^5IwtMj7,"010-808-3079",대국 A시 성복구 가나로 03-62,qfp@email.com,"2006-12-08",1,"2024-12-27",$2b$05$ra.noEANtrAq9kUEQupMEeYaN.DDzV66ID7zDsWO4dQ8C0RdlJqQi
75,윤지윤,code4918,a7$Kn2JWRVzT&,"010-981-2158",대국 B시 성복구 사아로 76-03,"7dl9@email.com","1986-03-08",0,"2024-12-28",$2b$05$ZUG1rp7/eG4G0t8tsgmUzel7AEQd.TWp2iqr2/NAs4sycJlGDa7DC
76,장민진,sky9475,@m9m#*BI$^,"010-785-5994",대국 A시 강남구 자차로 62-73,jfys@email.com,"1985-05-03",0,"2024-12-28",$2b$05$rZe37sv/jAD5B0CFlOiggurJYpBSQTnBvNyFFqKZmY3scqhrWXOIm
77,김민휘,sky7878,ZgXSfXY&QlMdlx8,"010-387-3236",대국 C시 성복구 사아로 93-18,"91f4@email.com","1970-06-17",0,"2024-12-30",$2b$05$JY6botl.78bVHBO0RvjN4.C.57.BygNfWuvZJo9UTqqI8S6fw4JxW
78,이현호,code5521,ojY#7wbP#278^A,"010-796-7929",대국 B시 성복구 마바로 16-60,z1r@email.com,"1984-01-18",1,"2025-01-03",$2b$05$Cp8I7dKLobJPuMcgLRKSAuzUsLqJI12y4/aVyNJrOQ3yLmG8n.bey
79,윤은현,run6520,YhD#6P2FU%j,"010-910-7162",대국 B시 강남구 사아로 63-65,"211@email.com","1959-06-16",1,"2025-01-03",$2b$05$hlXU.80u2Xm8LRD4sVxIvO/0YF4lcP/so6gEkcug8NsRnpzofKTiW
80,윤지지,teddy1081,F*t#Ii7F!FgV7wy,"010-801-8772",대국 A시 대덕구 사아로 57-37,"34@email.com","1963-02-20",0,"2025-01-03",$2b$05$O5/1tJCD2z93533.o03lfuwXSGwTmgg7OjBARu88iBzagimQiIO2O
81,강유수,code9325,xy&ulWPv2sSOOTu,"010-689-4393",대국 C시 강남구 마바로 12-97,hnpv@email.com,"2002-01-16",0,"2025-01-05",$2b$05$y1sIePq.G5w7DWHZzXx9kOvvFAiB8el3cFY/W2OuWFNFrELlEVY.C
82,임현윤,cat8372,CN@GwY2ISmSa,"010-332-8933",대국 B시 대덕구 마바로 61-86,qz@email.com,"1965-04-02",0,"2025-01-06",$2b$05$QoyDIHI.7qAyv8FQixDwYOCi8CjUXmWfbMFfWzd/qU8ZRB41YAnWq
83,장하진,cat6188,WC2#9ZejowUKv,"010-834-9190",대국 A시 노은구 마바로 39-82,kdts@email.com,"1974-01-01",0,"2025-01-07",$2b$05$2bxO1QCeLZZ7xqM5HEnPA.n59cfMVvg/yrDQGey88c9biw67hIrdS
84,정서진,teddy4966,G3x7%d2eGn65,"010-568-4181",대국 C시 중앙구 마바로 26-54,"6f@email.com","1970-11-20",1,"2025-01-09",$2b$05$uw7AXdwF4TYW0GHHlbnON.w66DymJZlUcF3FEw3X/8NTR1BoOS8si
85,조지진,tennis6845,ryJVs*cCF0rG4ja,"010-954-9513",대국 B시 중앙구 다라로 92-25,mk@email.com,"1974-07-16",0,"2025-01-11",$2b$05$6FrVhDispiBBFgugaq7AQuRHORb83kOAnUpn8nt9pUuwvHVGptHWu
86,박동휘,green2644,T1G%k!szm#x8wIe,"010-820-1022",대국 C시 대덕구 사아로 88-32,xdqc@email.com,"1995-05-22",1,"2025-01-12",$2b$05$I3uZWdH/h660NCHN7CyILOc.Usit3KWx6SdtZMBz2R04xXwyCXBse
87,강서영,teddy3502,kxH9vw1g&K*ocB,"010-597-9215",대국 C시 노은구 가나로 23-28,po4@email.com,"1974-06-20",0,"2025-01-13",$2b$05$uHNhOuWIiYjBPkBD6qvAaOfY47/P7ZMfXTwjCC.Yvp7ea4i1XOUyW
88,조유현,blue6472,dSORHniVLC8k*,"010-235-8764",대국 B시 중앙구 자차로 35-97,"58w@email.com","1957-03-21",0,"2025-01-14",$2b$05$llEpEQRgwitZIhp/ZWr/B.r5ey4Awgay5GseTs5RzW9Q4WVeCbaa6
89,임수지,ballet4127,KqRry3f^Gr,"010-213-8627",대국 A시 강남구 다라로 02-18,"78v0@email.com","1988-01-25",1,"2025-01-14",$2b$05$8jN//VSTk0yr3L0W6qUW/u/HpEjlUrKCtVt70bNGmORK9z820vie.
90,정서린,green5209,"2ulu#W@GTgJm","010-853-5041",대국 C시 강남구 자차로 39-09,"4f@email.com","1971-04-20",0,"2025-01-15",$2b$05$BHbTnj2OIdlTeib/lscVr.k7VSUVDaFzPw0hAMgvoUCvjJ8IPTRh6
91,이은진,best9444,InZ9oorRkh#,"010-726-2442",대국 C시 중앙구 마바로 22-79,fn@email.com,"2005-08-13",0,"2025-01-15",$2b$05$VWZZ4CH28R42U9UlMi/pnu8u2CSidNmZ6CPbjcxT17t1Av3rK6ovm
92,김민지,best4053,"9aNh&t*MI$7G","010-218-2160",대국 A시 대덕구 마바로 81-88,ezf@email.com,"1988-06-27",1,"2025-01-15",$2b$05$vCa9ILyD.5rLV4lCqldQxenejpFM3RGPkPIW0zZnGHTJ6RMtN.p0a
93,장지주,blue8005,QNTT^x3hgp0NWpA,"010-474-7003",대국 A시 성복구 사아로 59-10,xgc@email.com,"2013-09-01",1,"2025-01-16",$2b$05$4bs/IiHvDsFL3wUAXwKPyunXy6n4WQygQyYf1LDdJs60lnHXWUQea
94,윤하영,run6743,fY@TF&sd497zVD,"010-395-2260",대국 B시 대덕구 다라로 81-18,r7@email.com,"1987-02-01",1,"2025-01-17",$2b$05$U5Q1bKwLJQ8ZgMyyOjjG2u/t14Mwb8/uwumJYOuQGKlNxugQVnpSi
95,장유현,love1000,"3!wvB5HcTu","010-452-3423",대국 A시 중앙구 가나로 86-47,e52k@email.com,"1977-07-21",1,"2025-01-17",$2b$05$asVLBP.WgFrvpiAYVVMgOOZkSXoEZCPBPa6OQ3oZzgxYTXw/iZN/W
96,정동윤,cat1363,JRt2IQ26&z,"010-856-9948",대국 B시 강남구 다라로 99-59,bj@email.com,"1976-02-12",1,"2025-01-17",$2b$05$y6LMqatOljTyl74f56Vo1eypNb8txh80YtdWP/PcexuPDp/tEwTI2
97,장은주,sky8801,Bhvjl%3^Tm^W$3p,"010-563-9114",대국 B시 성복구 자차로 18-64,"0gg@email.com","2008-01-09",0,"2025-01-19",$2b$05$Sp/zNnyupxP2IncCrPk4UOFuA3sUggMQghZstsDdbDfdvyU0cJhHy
98,강동휘,best5711,!ViZa8adz#,"010-794-9730",대국 B시 강남구 자차로 45-46,dc@email.com,"1993-03-02",0,"2025-01-19",$2b$05$FMwTl4s59MBpvx1kYtf54O4Y12xLJkEIg6ooT7Q3iI6OX3S1La2s6
99,임수윤,love2318,YB50Odye*$e$,"010-261-1476",대국 A시 성복구 마바로 47-54,jse@email.com,"2006-10-18",1,"2025-01-20",$2b$05$wv9.rt08mtIG82Pj8eT6lepMB.hto.BSQhJd02gcgW9CO/zlCsL3W
100,박현수,go5410,RFD5ApDaIZXs#,"010-275-5259",대국 C시 대덕구 마바로 82-90,iss8@email.com,"1980-06-02",0,"2025-01-21",$2b$05$4l9JZu8qpY1ktpxE3vafLeIB6HlhEOsaehNOkSLL2oeURlSZCACkW
101,윤서지,run5047,$ODkxA6ITVs5^S,"010-735-6500",대국 A시 강남구 마바로 88-90,zg@email.com,"1952-09-24",1,"2025-01-23",$2b$05$i/skUW15CClobCTPMXdWE.2CUI5nbxgsJsFifgRWjeRjhanwq5FKG
102,강서주,teddy6929,jcOBMfoZYo@7jm,"010-152-2818",대국 B시 강남구 사아로 76-49,"0t@email.com","2003-01-02",0,"2025-01-24",$2b$05$ke3oloHPt2PBSakEZuenOeEsmMj3JYwpzVvy9oORtGrMPOHYedzba
103,박하지,tennis8055,"8G8$Mj%LPF09","010-828-9770",대국 C시 중앙구 마바로 56-85,po@email.com,"1989-08-01",0,"2025-01-25",$2b$05$EwDKzzsTG37KHdfEljI0uO63sI/bq7kaNVoF.X7Md9eUOsiQnN2a2
104,김서주,love2253,A17hd%#85aWhFbo,"010-590-2605",대국 C시 노은구 마바로 56-53,"3mv1@email.com","2010-06-28",0,"2025-01-25",$2b$05$e6Hjt7oU.NQgDBJNNPA2MOXK7dqiA4zESGPOqM2FUxQNUgSZ1zpl.
